,Loss
1065,129.75047
1066,126.5604
1067,120.27403
1068,142.77332
1069,130.02109
1070,158.49625
1071,122.13243
1072,115.17687
1073,143.01303
1074,139.1334
1075,83.76494
1076,132.46362
1077,140.24988
1078,128.69637
1079,118.071556
1080,130.18991
1081,144.92908
1082,119.22177
1083,114.47226
1084,134.79361
1085,143.33377
1086,145.35892
1087,108.43911
1088,108.02481
1089,143.58783
1090,114.81503
1091,141.45554
1092,121.9147
1093,118.10655
1094,114.09999
1095,117.38706
1096,117.38052
1097,135.96082
1098,117.6629
1099,139.10582
1100,132.14282
1101,108.15362
1102,118.54014
1103,110.96738
1104,136.51527
1105,125.909256
1106,117.760635
1107,115.36311
1108,136.7425
1109,145.84294
1110,125.049194
1111,124.90879
1112,112.77273
1113,124.75891
1114,137.69824
1115,106.9707
1116,123.43648
1117,134.09761
1118,115.25351
1119,134.27744
1120,132.32175
1121,142.12054
1122,117.94639
1123,138.68913
1124,105.25213
1125,122.913086
1126,130.50912
1127,120.904205
1128,115.28749
1129,129.36328
1130,107.76669
1131,118.4436
1132,113.144615
1133,137.9398
1134,108.591125
1135,138.42343
1136,118.69545
1137,137.5892
1138,134.40274
1139,120.71497
1140,108.55603
1141,109.36394
1142,121.23621
1143,136.08218
1144,120.03232
1145,131.53592
1146,128.31009
1147,123.64293
1148,131.05392
1149,107.33435
1150,130.27151
1151,120.10886
1152,126.9232
1153,104.415535
1154,125.213715
1155,113.03792
1156,142.26147
1157,125.4215
1158,135.3491
1159,109.6206
1160,105.41365
1161,134.30023
1162,123.98635
1163,108.47754
1164,121.60748
1165,112.85299
1166,121.502716
1167,113.723656
1168,130.95273
1169,131.93857
1170,129.97305
1171,115.82115
1172,113.46492
1173,122.29823
1174,120.861824
1175,126.28345
1176,114.15055
1177,117.94447
1178,132.62662
1179,99.86522
1180,111.52821
1181,118.95839
1182,126.739174
1183,102.16389
1184,137.01495
1185,132.17432
1186,103.50708
1187,85.08893
1188,112.71278
1189,124.25481
1190,103.25716
1191,139.42807
1192,123.6805
1193,122.34573
1194,125.56986
1195,143.71748
1196,113.47006
1197,110.23421
1198,120.661224
1199,122.43475
1200,118.62831
1201,114.98546
1202,120.941605
1203,118.7659
1204,99.837875
1205,103.42575
1206,100.27109
1207,108.817184
1208,133.38078
1209,110.917755
1210,117.47733
1211,120.12329
1212,120.26623
1213,102.70528
1214,115.9355
1215,118.059265
1216,101.13674
1217,117.526085
1218,116.35364
1219,135.23589
1220,122.74573
1221,120.02583
1222,95.7605
1223,129.9719
1224,134.37814
1225,104.33049
1226,114.93244
1227,108.56218
1228,92.86158
1229,138.59358
1230,114.350784
1231,105.2632
1232,118.4772
1233,98.85299
1234,99.465775
1235,122.80847
1236,109.13942
1237,123.74084
1238,123.98133
1239,128.18497
1240,126.23106
